flag; num; time_ms; accl1; accl2; accl3; gyro1; gyro2; gyro3; mag1; mag2; mag3; bme_temp; bme_press; bme_humidity; bme_height; lux_board; lux_sp; state; lidar; crc
170;1;3057;-942;-282;1529;423;-643;4788;1764;483;506;21;98764;41;0.000000;121.610985;49.641621;0;87;9329
170;2;3170;-886;-457;1931;246;-472;1558;1769;487;506;21;98764;41;0.000000;152.118454;47.535133;0;84;52106
170;3;3263;-451;309;2111;1643;-658;1646;1761;472;492;21;98764;41;0.000000;192.523087;49.456577;0;81;31272
170;4;3356;-374;727;1925;965;767;1889;1767;480;495;21;98764;41;0.000000;249.854828;48.995590;0;80;29659
170;5;3554;-522;695;1878;-221;670;1398;1762;479;506;21;98764;41;0.000000;310.357361;49.734264;0;86;45675
170;6;3647;-344;714;1825;238;443;174;1772;486;492;21;98763;41;0.000000;343.816040;46.993198;0;87;30544
170;7;3739;-885;932;1909;-496;970;-656;1770;479;496;21;98763;41;0.000000;371.117004;48.262569;0;89;23664
170;8;3831;-118;1307;2067;467;-73;1199;1772;490;506;21;98763;41;0.000000;345.482819;46.543961;0;84;61444
170;9;4016;-345;1079;1446;359;-76;1982;1764;478;497;21;98763;41;0.000000;314.863922;48.262569;0;86;20811
170;10;4130;-242;1288;1888;234;-600;531;1764;484;499;21;98763;41;0.000000;282.649689;48.536789;0;86;20829
170;11;4223;389;1291;1784;342;-951;2061;1778;489;495;21;98762;41;0.000000;234.183670;49.456577;0;90;19186
170;12;4315;1069;1216;1545;-339;-479;1390;1765;487;489;21;98762;41;0.000000;197.752441;49.456577;0;91;55156
170;13;4502;861;419;1615;456;-12;1288;1767;485;497;21;98762;41;0.000000;158.770538;49.087612;0;93;26366
170;14;4595;1203;544;1615;538;-68;942;1765;492;508;21;98762;41;0.000000;153.856659;46.633633;0;87;42511
170;15;4698;1462;656;1640;469;185;-834;1766;487;502;21;98760;41;0.000000;161.174774;48.536789;0;87;27274
170;16;4791;1368;675;1583;238;-510;-163;1778;484;492;21;98760;41;0.000000;172.587540;48.811810;0;92;14286
170;17;4986;1199;986;1348;548;-263;-322;1770;483;501;21;98760;41;0.000000;212.929123;48.995590;0;35;31262
170;18;5089;1237;1067;1241;450;-508;-422;1779;485;505;21;98760;41;0.000000;222.648178;48.720051;0;31;17406
170;19;5192;1242;1207;1104;460;-474;-449;1772;486;497;21;98760;41;0.000000;230.831390;48.171333;0;30;39068
170;20;5285;1257;1312;1059;307;-239;-256;1766;487;500;21;98763;41;0.000000;235.028915;48.811810;0;29;13531
170;21;5472;1306;1295;1010;76;-273;-346;1780;490;503;21;98763;41;0.000000;247.470856;48.720051;0;31;64332
170;22;5565;1380;1433;1185;-225;135;757;1774;490;496;21;98763;41;0.000000;227.798538;49.179718;0;26;7227
170;23;5658;1184;1152;1254;-163;810;739;1774;493;489;21;98763;41;0.000000;208.091980;49.087612;0;32;23949
170;24;5761;1288;1169;1082;-259;409;527;1775;485;494;21;98763;41;0.000000;189.722855;49.179718;0;30;33912
170;25;5946;1271;858;1429;-126;147;93;1775;491;500;21;98763;41;0.000000;183.103333;49.179718;0;33;45031
170;26;6049;1189;828;1487;-19;94;2;1772;486;492;21;98763;41;0.000000;183.328186;48.262569;0;35;21997
170;27;6142;1155;803;1501;35;65;-11;1781;493;513;21;98763;41;0.000000;183.778580;46.275455;0;37;47162
170;28;6235;1172;790;1475;46;33;55;1768;495;499;21;98763;41;0.000000;183.778580;49.549046;0;59;20205
170;29;6432;1226;759;1535;35;10;74;1771;486;496;21;98763;41;0.000000;179.538254;48.262569;0;95;4895
170;30;6526;1189;731;1533;-1;102;154;1770;489;502;21;98763;41;0.000000;176.686050;48.995590;0;97;23598
170;31;6619;1160;683;1559;36;46;149;1780;487;508;21;98763;41;0.000000;177.559448;48.080193;0;97;62894
170;32;6712;1175;727;1566;58;70;254;1779;480;506;21;98763;41;0.000000;177.340775;47.989120;0;97;58824
170;33;6897;1143;560;1622;-37;158;344;1779;490;503;21;98764;41;0.000000;173.015091;49.549046;0;94;62364
170;34;7011;1135;485;1675;38;195;424;1791;496;516;21;98764;41;0.000000;176.033432;48.262569;0;91;39025
170;35;7104;1099;385;1732;29;174;348;1785;496;516;21;98764;41;0.000000;173.872894;49.179718;0;89;56494
170;36;7197;1060;320;1813;-27;119;137;1781;494;511;21;98764;41;0.000000;173.015091;48.445293;0;87;23048
170;37;7382;981;295;1790;60;46;64;1774;491;513;21;98764;41;0.000000;176.686050;47.807262;0;84;10393
170;38;7476;998;293;1797;93;24;150;1785;492;511;21;98763;41;0.000000;174.303192;48.628372;0;83;34260
170;39;7580;1003;291;1793;54;6;88;1777;489;526;21;98763;41;0.000000;176.686050;49.271923;0;83;26738
170;40;7672;990;298;1801;46;46;86;1773;496;519;21;98763;41;0.000000;176.686050;48.262569;0;83;38279
170;41;7867;973;251;1822;41;27;80;1781;492;528;21;98763;41;0.000000;178.216949;49.734264;0;82;21255
170;42;7971;951;246;1813;27;-24;29;1794;494;514;21;98762;42;0.000000;175.816330;48.262569;0;82;46813
170;43;8064;952;240;1850;48;19;66;1781;497;511;21;98762;42;0.000000;177.340775;48.445293;0;81;31916
170;44;8167;905;221;1849;68;95;208;1780;491;520;21;98762;42;0.000000;178.876572;46.633633;0;81;19684
170;45;8352;931;198;1866;138;-70;127;1786;491;523;21;98762;42;0.000000;181.313171;48.262569;0;80;3749
170;46;8446;897;188;1870;78;209;325;1792;496;519;21;98762;42;0.000000;186.045197;48.080193;0;80;45969
170;47;8539;826;127;1899;94;162;222;1786;495;515;21;98766;42;0.000000;190.652237;48.811810;0;79;14583
170;48;8631;809;148;1911;65;60;47;1783;496;515;21;98766;42;0.000000;192.758072;48.628372;0;78;34610
170;49;8827;785;178;1909;113;-139;-92;1786;494;513;21;98766;42;0.000000;196.552933;50.012707;0;78;21215
170;50;8932;821;199;1901;105;-69;-7;1787;491;520;21;98766;42;0.000000;200.171173;49.549046;0;78;13705
170;51;9119;856;200;1866;10;-39;-37;1789;501;512;21;98762;42;0.000000;194.647232;48.995590;0;79;12963
170;52;9211;807;184;1880;15;98;102;1776;494;514;21;98762;42;0.000000;192.053879;46.813248;0;79;45045
170;53;9398;775;139;1923;88;-60;-82;1777;493;508;21;98762;42;0.000000;191.351913;48.536789;0;78;10921
170;54;9503;789;149;1921;76;-45;10;1786;500;506;21;98762;42;0.000000;190.187042;49.271923;0;78;38056
170;55;9596;781;166;1890;90;-47;47;1774;497;505;21;98762;42;0.000000;195.598022;48.445293;0;78;12215
170;56;9689;787;170;1918;59;3;44;1784;500;515;21;98762;42;0.000000;195.359940;48.171333;0;78;14497
170;57;9875;747;167;1942;67;-26;-23;1789;495;520;21;98762;42;0.000000;197.271866;49.087612;0;78;15513
170;58;9979;748;146;1946;51;-42;-9;1784;494;514;21;98762;42;0.000000;199.442764;49.641621;0;78;36640
170;59;10082;763;175;1922;63;-49;-39;1791;499;519;21;98762;42;0.000000;199.928101;49.087612;0;77;28157
170;60;10175;742;180;1926;39;-2;-18;1797;493;506;21;98764;42;0.000000;196.792328;49.456577;0;78;28589
170;61;10361;749;159;1941;59;-32;-16;1792;483;510;21;98764;42;0.000000;198.958496;47.989120;0;77;35302
170;62;10455;727;135;1934;53;-22;9;1794;498;517;21;98764;42;0.000000;198.958496;49.734264;0;77;11927
170;63;10548;712;166;1945;69;-57;-12;1783;493;512;21;98764;42;0.000000;200.171173;49.641621;0;77;64723
170;64;10651;758;175;1922;76;-128;-67;1785;490;516;21;98764;42;0.000000;196.552933;48.445293;0;77;62593
170;65;10846;748;171;1915;40;-172;-118;1792;499;518;21;98762;42;0.000000;193.700607;48.811810;0;78;23790
170;66;10950;822;190;1910;38;-297;-150;1788;491;516;21;98762;42;0.000000;192.758072;48.995590;0;78;17090
170;67;11043;886;199;1905;47;-97;-48;1790;493;523;21;98762;42;0.000000;190.652237;50.198792;0;78;63723
170;68;11135;853;185;1896;78;-9;-29;1787;504;524;21;98762;42;0.000000;190.885193;48.080193;0;78;29630
170;69;11331;839;198;1885;23;-141;-101;1795;496;518;21;98762;42;0.000000;191.351913;48.536789;0;78;28116
170;70;11425;867;190;1884;42;-183;-92;1798;496;520;21;98762;42;0.000000;189.491135;48.628372;0;78;35197
170;71;11518;907;210;1882;60;-136;-97;1788;492;504;21;98762;42;0.000000;187.187683;46.633633;0;77;51832
170;72;11611;922;228;1840;65;-63;-37;1795;489;522;21;98762;42;0.000000;188.797516;47.625755;0;76;23276
170;73;11796;919;217;1843;65;-137;-105;1789;489;522;21;98766;42;0.000000;188.336319;48.995590;0;75;30690
170;74;11900;918;230;1848;22;-125;-76;1788;489;517;21;98766;42;0.000000;184.682327;48.262569;0;75;20914
170;75;12003;957;232;1851;36;-69;-22;1784;489;506;21;98766;42;0.000000;183.778580;50.105709;0;75;5069
170;76;12096;943;232;1843;69;-58;-29;1779;490;509;21;98766;42;0.000000;184.908875;48.262569;0;76;1191
170;77;12281;957;256;1821;61;-80;-47;1784;489;514;21;98766;42;0.000000;184.908875;48.720051;0;76;43275
170;78;12375;968;227;1832;48;-57;-15;1799;499;524;21;98762;42;0.000000;184.004166;49.734264;0;76;23644
170;79;12481;939;244;1838;58;-49;-13;1783;493;516;21;98762;42;0.000000;182.430222;49.549046;0;76;39831
170;80;12573;961;231;1835;59;-75;-8;1785;487;516;21;98762;42;0.000000;185.817444;49.549046;0;76;3935
170;81;12758;996;233;1828;106;-228;-104;1778;490;517;21;98762;42;0.000000;182.430222;49.271923;0;77;29374
170;82;12851;1027;252;1760;96;-165;-61;1804;497;503;21;98763;42;0.000000;183.778580;48.536789;0;80;42967
170;83;12955;1009;259;1797;54;58;81;1799;494;516;21;98763;42;0.000000;184.908875;48.811810;0;83;63626
170;84;13058;1009;270;1791;91;-139;-42;1790;486;515;21;98763;42;0.000000;182.430222;48.720051;0;81;14195
170;85;13254;1051;259;1788;72;-47;40;1790;496;515;21;98763;42;0.000000;181.536118;49.179718;0;83;33994
170;86;13348;1039;267;1773;53;-29;20;1794;499;524;21;98763;42;0.000000;181.536118;48.720051;0;83;9963
170;87;13442;1056;236;1796;53;-40;22;1794;498;518;21;98765;42;0.000000;183.103333;49.179718;0;83;65448
170;88;13534;1035;234;1785;71;-62;-37;1780;495;517;21;98765;42;0.000000;180.202087;48.995590;0;82;32052
