flag; num; time_ms; fix; lat; lon; alt; gps_time_s; current; bus_voltage; MICS_5524; MICS_CO; MICS_NO2; MICS_NH3; CCS_CO2; CCS_TVOC; bme_temp_g; bme_press_g; bme_humidity_g; crc
187;1;3460;0;nan;nan;nan;-3661;4-0.000397;0;2059;3032;150;748;24922;61935;22;98881;51;49267
187;2;3923;0;nan;nan;nan;-3661;4-0.000198;0;2039;3046;162;854;24922;61935;22;98884;51;31451
187;3;4408;0;nan;nan;nan;-3661;4-0.000397;0;2026;3062;170;957;24922;61935;22;98883;51;63331
187;4;4883;0;nan;nan;nan;-3661;4-0.000198;0;2028;3040;178;1058;24922;61935;22;98884;51;50140
187;5;5378;0;nan;nan;nan;-3661;4-0.000397;0;1996;3070;190;1163;24922;61935;22;98884;51;50303
187;6;5853;0;nan;nan;nan;-3661;4-0.000198;0;1996;3072;197;1268;24922;61935;22;98886;51;54230
187;7;6338;0;nan;nan;nan;-3661;4-0.000397;0;1991;3062;205;1350;24922;61935;22;98885;51;22130
187;8;6804;0;nan;nan;nan;-3661;4-0.000397;0;1992;3056;212;1426;24922;61935;22;98883;51;27259
187;9;7289;0;nan;nan;nan;-3661;4-0.000397;0;1991;3061;221;1526;400;0;22;98887;51;3978
187;10;7764;0;nan;nan;nan;-3661;4-0.000198;0;1984;3080;228;1592;400;0;22;98885;51;19715
187;11;8259;0;nan;nan;nan;-3661;4-0.000198;0;1971;3079;234;1673;400;0;22;98885;51;65164
187;12;8734;0;nan;nan;nan;-3661;4-0.000397;0;1970;3084;241;1744;400;0;22;98887;51;63217
187;13;9304;0;nan;nan;nan;-3661;4-0.000397;0;1971;3073;251;1818;400;0;22;98886;51;60889
187;14;9782;0;nan;nan;nan;-3661;4-0.000198;0;1956;3075;253;1891;400;0;22;98885;51;18093
187;15;10268;0;nan;nan;nan;-3661;4-0.000198;0;1975;3080;262;1952;400;0;22;98884;51;27801
187;16;10743;0;nan;nan;nan;-3661;4-0.000397;0;1976;3085;268;1998;400;0;22;98884;51;35854
187;17;11238;0;nan;nan;nan;-3661;4-0.000397;0;1956;3078;274;2046;400;0;22;98883;51;8404
187;18;11703;0;nan;nan;nan;-3661;4-0.000397;0;1969;3076;279;2076;400;0;22;98885;51;7104
187;19;12188;0;nan;nan;nan;-3661;4-0.000198;0;1964;3089;285;2130;400;0;22;98885;51;27259
187;20;12665;0;nan;nan;nan;-3661;4-0.000397;0;1952;3097;291;2157;400;0;22;98885;51;55977
187;21;13150;0;nan;nan;nan;-3661;4-0.000397;0;1943;3094;297;2206;400;0;22;98885;51;42883
187;22;13637;0;nan;nan;nan;-3661;4-0.000198;0;1953;3075;299;2245;400;0;22;98887;51;51809
187;23;14112;0;nan;nan;nan;-3661;4-0.000397;0;1959;3101;307;2250;400;0;22;98886;51;57943
187;24;14589;0;nan;nan;nan;-3661;4-0.000397;0;1947;3081;311;2286;400;0;22;98886;51;7203
187;25;15116;0;nan;nan;nan;-3661;4-0.000397;0;1885;3114;339;2438;400;0;22;98883;51;36156
187;26;15592;0;nan;nan;nan;-3661;4-0.000397;0;1869;3130;366;2457;400;0;22;98883;51;6049
187;27;16077;0;nan;nan;nan;-3661;4-0.000198;0;1868;3147;379;2455;400;0;22;98919;51;41782
187;28;16553;0;nan;nan;nan;-3661;4-0.000397;0;1869;3134;391;2476;400;0;22;98916;51;17066
187;29;17038;0;nan;nan;nan;-3661;4-0.000397;0;1868;3123;404;2483;400;0;22;98917;51;59223
187;30;17515;0;nan;nan;nan;-3661;4-0.000397;0;1865;3118;413;2488;400;0;22;98919;50;17907
187;31;18000;0;nan;nan;nan;-3661;4-0.000198;0;1863;3128;420;2501;400;0;22;98920;50;53417
187;32;18477;0;nan;nan;nan;-3661;4-0.000397;0;1858;3129;429;2516;400;0;22;98918;50;64146
187;33;18951;0;nan;nan;nan;-3661;4-0.000397;0;1865;3130;428;2521;400;0;22;98918;50;14372
187;34;19436;0;nan;nan;nan;-3661;4-0.000198;0;1858;3157;435;2542;400;0;22;98921;50;24455
187;35;19921;0;nan;nan;nan;-3661;4-0.000397;0;1852;3152;439;2544;400;0;22;98919;50;17209
187;36;20398;0;nan;nan;nan;-3661;4-0.000397;0;1924;3118;400;2428;400;0;22;98920;49;17223
187;37;20883;0;nan;nan;nan;-3661;4-0.000397;0;1921;3109;382;2449;400;0;22;98887;49;13941
187;38;21391;0;nan;nan;nan;-3661;4-0.000397;0;1929;3105;377;2493;400;0;22;98881;49;23485
187;39;21876;0;nan;nan;nan;-3661;4-0.000397;0;1932;3085;373;2504;400;0;22;98882;49;53821
187;40;22362;0;nan;nan;nan;-3661;4-0.000397;0;1935;3096;376;2527;400;0;22;98882;49;28739
187;41;22914;0;nan;nan;nan;-3661;4-0.000198;0;1937;3106;376;2557;400;0;22;98880;49;22508
187;42;23391;0;nan;nan;nan;-3661;4-0.000397;0;1936;3102;382;2549;400;0;22;98881;49;64958
187;43;23875;0;nan;nan;nan;-3661;4-0.000198;0;1935;3101;384;2559;400;0;22;98882;49;3963
187;44;24341;0;nan;nan;nan;-3661;4-0.000397;0;1942;3119;384;2587;400;0;22;98881;49;61009
187;45;24836;0;nan;nan;nan;-3661;4-0.000198;0;1936;3096;389;2586;400;0;23;98881;49;34549
187;46;25311;0;nan;nan;nan;-3661;4-0.000397;0;1942;3115;393;2599;400;0;23;98882;49;12722
187;47;25795;0;nan;nan;nan;-3661;4-0.000198;0;1936;3101;395;2604;400;0;23;98882;49;57865
187;48;26270;0;nan;nan;nan;-3661;4-0.000198;0;1941;3091;400;2608;400;0;23;98882;49;39998
187;49;26744;0;nan;nan;nan;-3661;4-0.000397;0;1938;3105;402;2625;400;0;23;98880;49;8364
